LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:e1d917,"<sprite tint=1 name=""LeftArrow""> 白岸步道","<sprite tint=1 name=""LeftArrow""> White Coast Trail",,Original,HomeSignStart
line:8e78cb,"护林员小屋 <sprite name=""RightArrow"" tint=1>","Rangers Cabin <sprite name=""RightArrow"" tint=1>",,Original,HomeSignStart
line:2a55e5,不好意思，你知道现在几点了吗？,excuse me do you have the time?,,Original,GoatStart
line:b03acc,"额这个，让我看-","um yeah, let me chec-",,Player,GoatStart
line:445422,你看...我一般都是知道时间的,see... normally i would know the time,,Original,GoatStart
line:e86981,但我把表给搞丢了,i just lost my watch,,Original,GoatStart
line:b74c71,"哦，额","oh, um",,Player,GoatStart
line:78b6fa,抱歉,sorry,,Player,GoatStart
line:a60085,那是块非常名贵的表,it was very expensive,,Original,GoatStart
line:ba52fa,而再考虑到上面附加的\n情感价值的话，那块表\n真的称得上是无价之宝,and priceless when you\nconsider the sentimental value,,Original,GoatStart
line:3407a1,我明白了,i see,,Player,GoatStart
line:0d0268,"如果你找到了它，能\n拜托你把它带回给我吗？","if you find it, can you\nbring it back to me?",,Original,GoatStart
line:aa6cf0,没问题,sure,,Player,GoatStart
line:e4e4ee,请不要把它挂到\n网上或别的地方,please don't sell it on\nthe internet or whatever,,Original,GoatStart
line:b427c9,它对我真的很重要,it's very valuable to me,,Original,GoatStart
line:deb271,"我不会的，你放心吧","no, don't worry",,Player,GoatStart
line:6a5e2f,我会把它带回来的,i'll bring it right back,,Player,GoatStart
line:0c1b44,好的,ok,,Original,GoatStart
line:55e682,谢谢,thanks,,Original,GoatStart
line:1cf998,"<sprite tint=1 name=""UpArrow"">护林员小屋","<sprite tint=1 name=""UpArrow""> Rangers Cabin",,Original,BeachHutSign
line:6df2cf,"<sprite name=""DownArrow"" tint=1>白岸步道","<sprite name=""DownArrow"" tint=1> White Coast Trail",,Original,BeachHutSign
line:6794ce,"<sprite tint=1 name=""UpArrow"">神鹰峰\n白岸步道 <sprite name=""RightArrow"" tint=1>","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail\nWhite Coast Trail <sprite name=""RightArrow"" tint=1>",,Original,WhiteCoastSign
line:24d728,"<sprite tint=1 name=""DownArrow"">席德沙滩\n<sprite tint=1 name=""DownArrow"">游客中心\n","<sprite tint=1 name=""DownArrow""> Sid Beach\n<sprite tint=1 name=""DownArrow""> Visitor Center\n",,Original,WhiteCoastSign
line:c3feb2,嘿！你打算去哪啊？,hey! where do you think you're going?,Only if the player runs off without talking to the Aunt first.,Original,AuntRunOffStart
line:660020,"哦，额...","oh, um...",,Player,AuntRunOffStart
line:94ad70,"你打算就这样一句话也不说\n就抛下你的姑姑离开，是吗？","you're not going to just wander\noff without saying hi to old\nAunt May, are you?",,Original,AuntRunOffStart
line:0377ea,我可是一整天都没见到你了啊！,i haven't seen you all day!,,Original,AuntRunOffStart
line:2ee5c6,对不起...,sorry...,,Player,AuntRunOffStart
line:393e8a,"我想，我只是\n不太想聊天吧","i just, didn't feel like\ntalking i guess",,Player,AuntRunOffStart
line:8bc66d,嗯，发生什么了？,hmm what's going on?,,Original,AuntRunOffStart
line:68da3e,没什么！,it's nothing!,,Player,AuntRunOffStart
line:cc2ab6,额,um,,Player,AuntRunOffStart
line:2a2a55,我只是一直在\n等一通电话,i've just been waiting\naround for a call,Jumps to AuntIntroEnd.,Player,AuntRunOffStart
line:69f366,嘿，觉得怎么样啊？,hey how's it going?,Only if the player talks to the Aunt first.,Original,AuntIntroStart
line:f3c007,我足足有一整天没见到你了,i haven't seen you all day,,Original,AuntIntroStart
line:13113d,你很忙吗？,you been busy?,,Original,AuntIntroStart
line:15e70c,"啊，有点","uh, kinda",,Player,AuntIntroStart
